1	スマスマ16.3％ ビストロ有終
2	設楽ノンストップ欠席 胃腸炎
3	トランプ相場 沈む中国踏み台
4	独のXマス市に車突入12人死亡
5	島根遺棄 死亡の男を書類送検
6	露大使射殺「アレッポ」叫ぶ
7	ASKA 音楽活動を再開へ
8	茨城初のプロ球団設立へ準備
9	トランプ氏 選挙人過半数確保
10	病院入り口に男性遺体 神奈川
11	サイバー防衛 ネット演習検討
12	箱根 問われる学生選抜の意義
13	神戸西バイパス 全面開通へ
14	入浴剤飲み49人死亡 ロシア
15	露大使死亡 銃撃はトルコ警官
16	独のXマス市に車突入 9人死亡
17	ASKA氏不起訴 警視庁に衝撃
18	芥川・直木賞 候補10作決まる
19	義父の頭にハサミ 中2逮捕
20	紅白 大トリに嵐が有力
